Taxon,Group
Coregonus_peled,Actinopterygii
Coregonus_sardinella,Actinopterygii
Coregonus_albula,Actinopterygii
Coregonus_oxyrinchus,Actinopterygii
Coregonus_baerii,Actinopterygii
Coregonus_pravdinellus,Actinopterygii
Coregonus_pidschian,Actinopterygii
Coregonus_muksun,Actinopterygii
Coregonus_lavaretus,Actinopterygii
Coregonus_baunti,Actinopterygii
Coregonus_clupeaformis,Actinopterygii
Coregonus_baicalensis,Actinopterygii
Coregonus_migratorius,Actinopterygii
Coregonus_ussuriensis,Actinopterygii
Coregonus_chadary,Actinopterygii
Coregonus_nasus,Actinopterygii
Coregonus_tugun,Actinopterygii
Coregonus_artedi,Actinopterygii
Coregonus_nigripinnis,Actinopterygii
Coregonus_zenithicus,Actinopterygii
Coregonus_kiyi,Actinopterygii
Coregonus_hoyi,Actinopterygii
Coregonus_autumnalis,Actinopterygii
Coregonus_pollan,Actinopterygii
Coregonus_laurettae,Actinopterygii
Stenodus_leucichthys,Actinopterygii
Coregonus_huntsmani,Actinopterygii
Coregonus_widegreni,Actinopterygii
Prosopium_coulterii,Actinopterygii
Prosopium_abyssicola,Actinopterygii
Prosopium_spilonotus,Actinopterygii
Prosopium_gemmifer,Actinopterygii
Prosopium_williamsoni,Actinopterygii
Prosopium_cylindraceum,Actinopterygii
Lampris_guttatus,Actinopterygii
Lampris_immaculatus,Actinopterygii
Metavelifer_multiradiatus,Actinopterygii
Velifer_hypselopterus,Actinopterygii
Regalecus_glesne,Actinopterygii
Regalecus_russelii,Actinopterygii
Desmodema,Actinopterygii
Trachipterus_trachypterus,Actinopterygii
Trachipterus_jacksonensis,Actinopterygii
Trachipterus_altivelis,Actinopterygii
Trachipterus_arcticus,Actinopterygii
Zu_cristatus,Actinopterygii
Zu_elongatus,Actinopterygii
Lophotus_capellei,Actinopterygii
Lophotus_lacepede,Actinopterygii
Megacataetyx_niki,Actinopterygii
Bidenichthys_capensis,Actinopterygii
Cataetyx_rubrirostris,Actinopterygii
Cataetyx_laticeps,Actinopterygii
Barathronus_maculatus,Actinopterygii
Cataetyx_lepidogenys,Actinopterygii
Diplacanthopoma_brachysoma,Actinopterygii
Diplacanthopoma_brunnea,Actinopterygii
Parabrotula_tanseimaru,Actinopterygii
Brosmophyciops_pautzkei,Actinopterygii
Brosmophycis_marginata,Actinopterygii
Lucifuga_subterranea,Actinopterygii
Lucifuga_simile,Actinopterygii
Lucifuga_dentata,Actinopterygii
Diancistrus_jeffjohnsoni,Actinopterygii
Diancistrus_tongaensis,Actinopterygii
Dinematichthys_iluocoeteoides,Actinopterygii
Typhlias_pearsei,Actinopterygii
Ogilbia_cayorum,Actinopterygii
Ogilbichthys,Actinopterygii
Neobythites_unimaculatus,Actinopterygii
Sirembo_imberbis,Actinopterygii
Hoplobrotula_gnathopus,Actinopterygii
Lamprogrammus_shcherbachevi,Actinopterygii
Pyramodon_ventralis,Actinopterygii
Onuxodon_parvibrachium,Actinopterygii
Carapus_bermudensis,Actinopterygii
Carapus_acus,Actinopterygii
Echiodon_cryomargarites,Actinopterygii
Petrotyx_sanguineus,Actinopterygii
Genypterus_tigerinus,Actinopterygii
Genypterus_blacodes,Actinopterygii
Genypterus_capensis,Actinopterygii
Genypterus_brasiliensis,Actinopterygii
Genypterus_chilensis,Actinopterygii
Chilara_taylori,Actinopterygii
Ophidion_holbrookii,Actinopterygii
Ophidion_robinsi,Actinopterygii
Ophidion_josephi,Actinopterygii
Raneya_brasiliensis,Actinopterygii
Lepophidium_jeannae,Actinopterygii
Lepophidium_brevibarbe,Actinopterygii
Lepophidium_profundorum,Actinopterygii
Genypterus_maculatus,Actinopterygii
Neobythites_gilli,Actinopterygii
Dannevigia_tusca,Actinopterygii
Monomitopus_garmani,Actinopterygii
Dicrolene_introniger,Actinopterygii
Brotulotaenia_crassa,Actinopterygii
Brotulotaenia_nigra,Actinopterygii
Lamprogrammus_niger,Actinopterygii
Neobythites_stigmosus,Actinopterygii
Neobythites_sivicola,Actinopterygii
Bassogigas,Actinopterygii
Apagesoma_australe,Actinopterygii
Holcomycteronus_brucei,Actinopterygii
Ventichthys_biospeedoi,Actinopterygii
Porogadus_miles,Actinopterygii
Brotula_multibarbata,Actinopterygii
Brotula_barbata,Actinopterygii
Acanthonus_armatus,Actinopterygii
Aphyonus_gelatinosus,Actinopterygii
Bassozetus_zenkevitchi,Actinopterygii
Selachophidium_guentheri,Actinopterygii
Chaetodon_auriga,Actinopterygii
Chaetodon_decussatus,Actinopterygii
Chaetodon_vagabundus,Actinopterygii
Chaetodon_auripes,Actinopterygii
Chaetodon_wiebeli,Actinopterygii
Chaetodon_lunula,Actinopterygii
Chaetodon_fasciatus,Actinopterygii
Chaetodon_flavirostris,Actinopterygii
Chaetodon_adiergastos,Actinopterygii
Chaetodon_collare,Actinopterygii
Chaetodon_ulietensis,Actinopterygii
Chaetodon_falcula,Actinopterygii
Chaetodon_oxycephalus,Actinopterygii
Chaetodon_lineolatus,Actinopterygii
Chaetodon_semilarvatus,Actinopterygii
Chaetodon_rafflesii,Actinopterygii
Chaetodon_mesoleucos,Actinopterygii
Chaetodon_ephippium,Actinopterygii
